x_value,total_1,total_2
573,1765,1261
574,1761,1266
575,1758,1261
576,1766,1267
577,1764,1271
578,1766,1266
579,1763,1261
580,1757,1259
581,1755,1263
582,1758,1267
583,1754,1272
584,1752,1278
585,1749,1282
586,1757,1281
587,1754,1283
588,1749,1280
589,1744,1276
590,1748,1281
591,1753,1283
592,1759,1279
593,1763,1285
594,1764,1286
595,1765,1286
596,1764,1287
597,1761,1284
598,1763,1289
599,1767,1285
600,1769,1289
601,1777,1294
602,1780,1292
603,1777,1290
604,1785,1292
605,1787,1292
606,1786,1289
607,1782,1287
608,1782,1283
609,1784,1288
610,1790,1283
611,1790,1280
612,1786,1282
613,1792,1282
614,1790,1287
615,1794,1288
616,1796,1288
617,1799,1288
618,1806,1285
619,1806,1288
620,1804,1284
621,1808,1287
622,1802,1282
623,1799,1281
624,1794,1283
625,1791,1287
626,1788,1291
627,1792,1295
628,1800,1292
629,1794,1297
630,1793,1303
631,1801,1305
632,1799,1310
633,1794,1305
634,1797,1305
635,1799,1301
636,1797,1300
637,1803,1299
638,1799,1295
639,1798,1299
640,1792,1301
641,1788,1303
642,1784,1308
643,1780,1314
644,1774,1310
645,1776,1316
646,1781,1316
647,1780,1322
648,1781,1322
649,1781,1325
650,1777,1329
651,1774,1331
652,1769,1335
653,1772,1331
654,1767,1327
655,1773,1328
656,1768,1328
657,1773,1328
658,1771,1325
659,1776,1327
660,1780,1329
661,1786,1324
662,1792,1321
663,1793,1326
664,1796,1321
665,1790,1317
666,1797,1317
667,1800,1313
668,1802,1319
669,1804,1323
670,1808,1324
671,1805,1321
672,1801,1321
673,1796,1326
674,1795,1330
675,1798,1333
676,1795,1336
677,1790,1331
678,1793,1326
679,1788,1328
680,1782,1331
681,1786,1332
682,1782,1330
683,1777,1327
684,1782,1324
685,1776,1321
686,1776,1326
687,1777,1329
688,1773,1330
689,1779,1335
690,1781,1339
691,1780,1340
692,1777,1345
693,1772,1347
694,1768,1352
695,1768,1358
696,1771,1359
697,1776,1360
698,1782,1355
699,1782,1350
700,1788,1348
701,1786,1352
702,1787,1356
703,1786,1361
704,1788,1363
705,1785,1358
706,1780,1357
707,1788,1358
708,1782,1358
709,1780,1355
710,1788,1358
711,1794,1356
712,1797,1353
713,1801,1355
714,1799,1354
715,1802,1352
716,1804,1350
717,1810,1345
718,1817,1346
719,1824,1344
720,1831,1349
721,1839,1347
722,1840,1345
723,1842,1347
724,1841,1346
725,1844,1341
726,1845,1340
727,1852,1338
728,1846,1344
729,1850,1346
730,1851,1347
731,1850,1347
732,1847,1353
733,1849,1351
734,1846,1355
735,1845,1351
736,1841,1355
737,1838,1355
738,1846,1361
739,1840,1358
740,1844,1354
741,1852,1353
742,1857,1353
743,1864,1352
744,1861,1352
745,1869,1357
746,1873,1356
747,1879,1353
748,1881,1352
749,1885,1350
750,1884,1351
751,1881,1347
752,1887,1350
753,1882,1355
754,1885,1353
755,1886,1354
756,1880,1349
757,1886,1350
758,1884,1351
759,1887,1347
760,1883,1350
761,1886,1353
762,1882,1353
763,1886,1356
764,1891,1354
765,1885,1351
766,1884,1348
767,1881,1347
768,1877,1342
769,1877,1340
770,1877,1342
771,1877,1337
772,1882,1334
773,1876,1330
774,1873,1329
775,1868,1334
776,1872,1334
777,1876,1340
778,1881,1336
779,1884,1337
780,1891,1333
781,1894,1333
782,1899,1338
783,1902,1336
784,1899,1336
785,1907,1339
786,1913,1341
787,1912,1347
788,1917,1342
789,1911,1346
790,1916,1348
791,1920,1345
792,1922,1346
793,1924,1349
794,1925,1349
795,1932,1354
796,1938,1360
797,1933,1363
798,1936,1368
799,1934,1370
800,1929,1368
801,1930,1364
802,1930,1361
803,1931,1361
804,1932,1367
805,1940,1364
806,1936,1360
807,1935,1364
808,1942,1361
809,1936,1357
810,1933,1354
811,1941,1359
812,1945,1358
813,1942,1355
814,1942,1359
815,1942,1354
816,1942,1356
817,1945,1360
818,1951,1365
819,1959,1363
820,1955,1363
821,1962,1363
822,1964,1364
823,1963,1364
824,1961,1367
825,1964,1364
826,1969,1368
827,1972,1372
828,1970,1374
829,1978,1380
830,1973,1380
831,1969,1379
832,1973,1383
833,1977,1388
834,1982,1391
835,1987,1387
836,1988,1383
837,1986,1389
838,1994,1391
839,1991,1397
840,1993,1395
841,1998,1399
842,2003,1402
843,2007,1401
844,2004,1399
845,2006,1395
846,2003,1400
847,2008,1397
848,2007,1403
849,2001,1407
850,1996,1404
851,1990,1404
852,1993,1401
853,1989,1401
854,1994,1403
855,1992,1408
856,1992,1410
857,1991,1411
858,1985,1413
859,1979,1413
860,1975,1418
861,1982,1415
862,1983,1420
863,1979,1426
864,1973,1428
865,1979,1428
866,1980,1434
867,1976,1440
868,1972,1441
869,1972,1445
870,1967,1447
871,1963,1450
872,1958,1452
873,1960,1448
874,1954,1448
875,1948,1453
876,1947,1454
877,1954,1458
878,1960,1463
879,1968,1468
880,1968,1471
881,1976,1473
882,1982,1478
883,1990,1474
884,1995,1480
885,2001,1481
886,1995,1487
887,1993,1482
888,1991,1484
889,1990,1484
890,1995,1481
891,1993,1484
892,1999,1486
893,2002,1492
894,2004,1493
895,1998,1498
896,1994,1503
897,1989,1509
898,1986,1506
899,1990,1507
900,1997,1502
901,1999,1507
902,2003,1509
903,2011,1511
904,2014,1516
905,2020,1519
906,2022,1519
907,2029,1515
908,2025,1520
909,2032,1515
910,2037,1511
911,2032,1507
912,2034,1509
913,2042,1513
914,2039,1512
915,2035,1518
916,2032,1516
917,2038,1511
918,2045,1508
919,2049,1509
920,2057,1512
921,2057,1508
922,2065,1503
923,2059,1499
924,2057,1501
925,2056,1496
926,2053,1497
927,2056,1496
928,2053,1493
929,2054,1489
930,2059,1491
931,2067,1488
932,2073,1492
933,2081,1493
934,2080,1499
935,2086,1496
936,2083,1492
937,2087,1497
938,2085,1501
939,2089,1496
940,2083,1496
941,2090,1502
942,2093,1506
943,2096,1507
944,2091,1510
945,2092,1511
946,2091,1507
947,2093,1513
948,2091,1515
949,2099,1513
950,2106,1510
951,2104,1511
952,2107,1507
953,2108,1507
954,2113,1502
955,2108,1499
956,2106,1503
957,2110,1507
958,2110,1509
959,2118,1512
960,2121,1517
961,2126,1522
962,2130,1523
963,2128,1520
964,2124,1525
965,2125,1529
966,2125,1534
967,2130,1535
968,2137,1538
969,2142,1533
970,2148,1528
971,2154,1523
972,2160,1529
973,2167,1531
974,2168,1537
975,2166,1542
976,2164,1546
977,2168,1550
978,2162,1553
979,2166,1555
980,2171,1552
981,2176,1554
982,2171,1554
983,2178,1552
984,2179,1550
985,2183,1551
986,2177,1547
987,2182,1544
988,2178,1542
989,2172,1540
990,2172,1543
991,2180,1538
992,2186,1544
993,2193,1542
994,2200,1545
995,2196,1547
996,2190,1549
997,2196,1548
998,2196,1547
999,2204,1544
1000,2198,1545
1001,2195,1541
1002,2189,1546
1003,2190,1546
1004,2185,1541
1005,2191,1537
1006,2186,1533
1007,2180,1529
1008,2184,1529
1009,2178,1529
1010,2183,1524
1011,2184,1521
1012,2190,1524
1013,2186,1529
1014,2189,1530
1015,2189,1525
1016,2196,1521
1017,2199,1525
1018,2199,1527
1019,2207,1529
1020,2204,1529
1021,2210,1527
1022,2217,1522
1023,2225,1524
1024,2230,1529
1025,2236,1532
1026,2235,1527
1027,2242,1531
1028,2249,1530
1029,2243,1526
1030,2245,1531
1031,2247,1531
1032,2248,1532
1033,2250,1527
1034,2253,1524
1035,2251,1523
1036,2258,1520
1037,2265,1517
1038,2260,1517
1039,2261,1512
1040,2269,1512
1041,2271,1516
1042,2273,1512
1043,2275,1510
1044,2278,1516
1045,2283,1512
1046,2291,1513
1047,2296,1508
1048,2304,1504
1049,2301,1502
1050,2299,1503
1051,2296,1501
1052,2290,1500
1053,2296,1503
1054,2301,1501
1055,2298,1506
1056,2300,1509
1057,2294,1510
1058,2291,1505
1059,2287,1505
1060,2293,1510
1061,2291,1508
1062,2292,1507
1063,2299,1508
1064,2303,1503
1065,2299,1500
1066,2307,1505
1067,2306,1503
1068,2314,1504
1069,2319,1502
1070,2326,1501
1071,2334,1503
1072,2333,1503
1073,2330,1499
1074,2325,1495
1075,2328,1500
1076,2322,1497
1077,2325,1495
1078,2330,1498
1079,2330,1498
1080,2337,1499
1081,2331,1495
1082,2329,1492
1083,2330,1492
1084,2330,1492
1085,2329,1495
1086,2325,1498
1087,2328,1502
1088,2325,1505
1089,2325,1503
1090,2319,1498
1091,2314,1498
1092,2320,1501
1093,2314,1505
1094,2317,1507
1095,2311,1511
1096,2319,1512
1097,2317,1512
1098,2318,1508
1099,2321,1507
1100,2320,1506
1101,2316,1511
1102,2310,1506
1103,2316,1508
1104,2317,1507
1105,2319,1504
1106,2314,1500
1107,2313,1495
1108,2315,1499
1109,2309,1501
1110,2316,1506
1111,2321,1511
1112,2318,1517
1113,2319,1519
1114,2324,1519
1115,2327,1522
1116,2331,1526
1117,2338,1521
1118,2342,1523
1119,2339,1529
1120,2344,1533
1121,2352,1532
1122,2351,1537
1123,2347,1539
1124,2344,1534
1125,2339,1529
1126,2336,1527
1127,2330,1533
1128,2334,1530
1129,2330,1532
1130,2336,1533
1131,2334,1533
1132,2329,1537
1133,2329,1541
1134,2331,1541
1135,2339,1536
1136,2336,1536
1137,2339,1536
1138,2341,1540
1139,2336,1537
1140,2339,1533
1141,2341,1539
1142,2341,1541
1143,2344,1540
1144,2348,1540
1145,2356,1545
1146,2356,1551
1147,2362,1557
1148,2370,1554
1149,2365,1550
1150,2366,1551
1151,2364,1546
1152,2370,1542
1153,2377,1542
1154,2377,1546
1155,2375,1548
1156,2369,1553
1157,2369,1552
1158,2366,1556
1159,2360,1557
1160,2360,1561
1161,2354,1567
1162,2348,1570
1163,2344,1576
1164,2351,1581
1165,2357,1586
1166,2352,1586
1167,2352,1591
1168,2346,1589
1169,2348,1589
1170,2347,1586
1171,2343,1583
1172,2338,1587
1173,2332,1582
1174,2337,1583
1175,2332,1581
1176,2337,1579
1177,2345,1583
1178,2339,1588
1179,2345,1591
1180,2345,1594
1181,2345,1595
1182,2349,1601
1183,2355,1605
1184,2361,1608
1185,2358,1611
1186,2355,1607
1187,2351,1605
1188,2350,1604
1189,2357,1610
1190,2363,1606
1191,2357,1604
1192,2353,1607
1193,2359,1606
1194,2358,1601
1195,2359,1607
1196,2353,1608
1197,2350,1607
1198,2346,1609
1199,2353,1606
1200,2360,1612
1201,2361,1609
1202,2366,1611
1203,2364,1610
1204,2372,1609
1205,2374,1608
1206,2374,1613
1207,2382,1609
1208,2388,1611
1209,2385,1615
1210,2382,1614
1211,2386,1618
1212,2388,1617
1213,2386,1614
1214,2385,1615
1215,2388,1619
1216,2389,1624
1217,2393,1622
1218,2398,1628
1219,2395,1632
1220,2403,1629
1221,2409,1627
1222,2408,1632
1223,2407,1627
1224,2406,1629
1225,2410,1632
1226,2414,1637
1227,2422,1636
1228,2427,1638
1229,2421,1634
1230,2417,1630
1231,2415,1636
1232,2415,1633
1233,2422,1632
1234,2428,1628
1235,2436,1623
1236,2431,1627
1237,2430,1633
1238,2436,1634
1239,2437,1640
1240,2437,1636
1241,2434,1639
1242,2435,1638
1243,2440,1636
1244,2436,1633
1245,2433,1638
1246,2430,1636
1247,2438,1639
1248,2440,1638
1249,2441,1636
1250,2437,1634
1251,2442,1640
1252,2445,1645
1253,2452,1651
1254,2460,1649
1255,2462,1648
1256,2465,1646
1257,2466,1643
1258,2474,1643
1259,2480,1638
1260,2477,1639
1261,2484,1635
1262,2486,1639
1263,2482,1642
1264,2483,1645
1265,2490,1651
1266,2487,1656
1267,2486,1651
1268,2494,1652
1269,2502,1658
1270,2502,1659
1271,2499,1657
1272,2496,1658
1273,2494,1654
1274,2495,1658
1275,2490,1656
1276,2496,1657
1277,2499,1652
1278,2507,1658
1279,2511,1660
1280,2519,1662
1281,2516,1657
1282,2523,1662
